Steuerbares Einkommen;Einheitssteuersatz %
 100.00 ; 1.95 
 3’300.00 ; 1.98 
 3’400.00 ; 2.01 
 3’500.00 ; 2.03 
 3’600.00 ; 2.06 
 3’700.00 ; 2.08 
 3’800.00 ; 2.10 
 3’900.00 ; 2.12 
 4’000.00 ; 2.14 
 4’100.00 ; 2.16 
 4’200.00 ; 2.18 
 4’300.00 ; 2.19 
 4’400.00 ; 2.21 
 4’500.00 ;2.2244
 4’600.00 ;2.2391
 4’700.00 ;2.2532
 4’800.00 ;2.2667
 4’900.00 ;2.2796
 5’000.00 ;2.292
 5’100.00 ;2.3039
 5’200.00 ;2.3154
 5’300.00 ;2.3264
 5’400.00 ;2.337
 5’500.00 ;2.3473
 5’600.00 ;2.3571
 5’700.00 ;2.3667
 5’800.00 ; 2.38 
 5’900.00 ; 2.38 
 6’000.00 ; 2.39 
 6’100.00 ; 2.40 
 6’200.00 ; 2.41 
 6’300.00 ; 2.42 
 6’400.00 ; 2.43 
 6’500.00 ; 2.44 
 6’600.00 ; 2.46 
 6’700.00 ; 2.48 
 6’800.00 ; 2.49 
 6’900.00 ; 2.51 
 7’000.00 ; 2.53 
7100;2.5408
7200;2.5556
7300;2.5699
7400;2.5838
7500;2.5973
7600;2.6105
7700;2.6234
7800;2.6359
7900;2.6481
8000;2.66
8100;2.6716
8200;2.6829
8300;2.694
8400;2.7048
8500;2.7153
8600;2.7256
8700;2.7356
8800;2.7455
8900;2.7551
9000;2.7644
9100;2.7736
9200;2.7826
9300;2.7914
9400;2.8
9500;2.8084
9600;2.8167
9700;2.8247
9800;2.8327
9900;2.8404
10000;2.848
10100;2.8554
10200;2.8627
10300;2.8699
10400;2.8769
10500;2.8838
10600;2.8906
10700;2.8972
10800;2.9037
10900;2.9101
11000;2.9164
11100;2.9225
11200;2.9286
11300;2.9345
11400;2.9404
11500;2.9461
11600;2.9517
11700;2.9573
11800;2.9627
11900;2.9681
12000;2.9733
12100;2.9785
12200;2.9836
12300;2.9886
12400;2.9935
12500;2.9984
12600;3.0032
12700;3.0079
12800;3.0125
12900;3.0171
13000;3.0215
13100;3.026
13200;3.0303
13300;3.0346
13400;3.0388
13500;3.043
13600;3.0471
13700;3.0511
13800;3.0551
13900;3.059
14000;3.0629
14100;3.0667
14200;3.0704
14300;3.0741
14400;3.0778
14500;3.0814
14600;3.0849
14700;3.0884
14800;3.0919
14900;3.0953
15000;3.0987
15100;3.102
15200;3.1053
15300;3.1085
15400;3.1117
15500;3.1148
15600;3.1179
15700;3.121
15800;3.1241
15900;3.127
16000;3.13
16100;3.1363
16200;3.1426
16300;3.1488
16400;3.1549
16500;3.1609
16600;3.1669
16700;3.1728
16800;3.1786
16900;3.1843
17000;3.19
17100;3.1956
17200;3.2012
17300;3.2066
17400;3.2121
17500;3.2174
17600;3.2227
17700;3.228
17800;3.2331
17900;3.2383
18000;3.2433
18100;3.2483
18200;3.2533
18300;3.2582
18400;3.263
18500;3.2678
18600;3.2726
18700;3.2773
18800;3.2819
18900;3.2865
19000;3.2911
19100;3.2955
19200;3.3
19300;3.3044
19400;3.3088
19500;3.3131
19600;3.3173
19700;3.3216
19800;3.3258
19900;3.3299
20000;3.334
20100;3.3381
20200;3.3421
20300;3.3461
20400;3.35
20500;3.3539
20600;3.3578
20700;3.3616
20800;3.3654
20900;3.3691
21000;3.3729
21100;3.3765
21200;3.3802
21300;3.3838
21400;3.3874
21500;3.3909
21600;3.3944
21700;3.3979
21800;3.4014
21900;3.4048
22000;3.4082
22100;3.4115
22200;3.4149
22300;3.4182
22400;3.4214
22500;3.4247
22600;3.4279
22700;3.4311
22800;3.4342
22900;3.4373
23000;3.4404
23100;3.4435
23200;3.4466
23300;3.4496
23400;3.4526
23500;3.4555
23600;3.4585
23700;3.4614
23800;3.4643
23900;3.4672
24000;3.47
24100;3.4728
24200;3.4756
24300;3.4784
24400;3.4811
24500;3.4839
24600;3.4866
24700;3.4893
24800;3.4919
24900;3.4946
25000;3.4972
25100;3.4998
25200;3.5024
25300;3.5049
25400;3.5075
25500;3.51
25600;3.5125
25700;3.515
25800;3.5174
25900;3.5199
26000;3.5223
26100;3.5247
26200;3.5271
26300;3.5295
26400;3.5318
26500;3.5342
26600;3.5365
26700;3.5388
26800;3.541
26900;3.5433
27000;3.5456
27100;3.5478
27200;3.55
27300;3.5522
27400;3.5544
27500;3.5565
27600;3.5587
27700;3.5608
27800;3.5629
27900;3.5651
28000;3.5671
28100;3.5692
28200;3.5713
28300;3.5733
28400;3.5754
28500;3.5774
28600;3.5794
28700;3.5814
28800;3.5833
28900;3.5853
29000;3.5872
29100;3.5892
29200;3.5911
29300;3.593
29400;3.5949
29500;3.5968
29600;3.5986
29700;3.6005
29800;3.6023
29900;3.6042
30000;3.606
30100;3.6078
30200;3.6096
30300;3.6114
30400;3.6132
30500;3.6149
30600;3.6167
30700;3.6184
30800;3.6201
30900;3.6218
31000;3.6235
31100;3.6252
31200;3.6269
31300;3.6286
31400;3.6303
31500;3.6319
31600;3.6335
31700;3.6352
31800;3.6368
31900;3.6393
32000;3.6419
32100;3.6444
32200;3.6469
32300;3.6494
32400;3.6519
32500;3.6543
32600;3.6567
32700;3.6592
32800;3.6616
32900;3.664
33000;3.6664
33100;3.6687
33200;3.6711
33300;3.6734
33400;3.6757
33500;3.6781
33600;3.6804
33700;3.6826
33800;3.6849
33900;3.6872
34000;3.6894
34100;3.6916
34200;3.6939
34300;3.6961
34400;3.6983
34500;3.7004
34600;3.7026
34700;3.7048
34800;3.7069
34900;3.709
35000;3.7111
35100;3.7132
35200;3.7153
35300;3.7174
35400;3.7195
35500;3.7215
35600;3.7236
35700;3.7256
35800;3.7277
35900;3.7297
36000;3.7317
36100;3.7337
36200;3.7356
36300;3.7376
36400;3.7396
36500;3.7415
36600;3.7434
36700;3.7454
36800;3.7473
36900;3.7492
37000;3.7511
37100;3.753
37200;3.7548
37300;3.7567
37400;3.7586
37500;3.7604
37600;3.7622
37700;3.7641
37800;3.7659
37900;3.7677
38000;3.7695
38100;3.7713
38200;3.773
38300;3.7748
38400;3.7766
38500;3.7783
38600;3.7801
38700;3.7818
38800;3.7835
38900;3.7852
39000;3.7869
39100;3.7886
39200;3.7903
39300;3.792
39400;3.7937
39500;3.7953
39600;3.797
39700;3.7986
39800;3.8003
39900;3.8019
40000;3.8035
40100;3.8051
40200;3.8067
40300;3.8083
40400;3.8099
40500;3.8115
40600;3.8131
40700;3.8146
40800;3.8162
40900;3.8177
41000;3.8193
41100;3.8208
41200;3.8223
41300;3.8238
41400;3.8254
41500;3.8269
41600;3.8284
41700;3.8299
41800;3.8313
41900;3.8328
42000;3.8343
42100;3.8357
42200;3.8372
42300;3.8387
42400;3.8401
42500;3.8415
42600;3.843
42700;3.8444
42800;3.8458
42900;3.8472
43000;3.8486
43100;3.85
43200;3.8514
43300;3.8528
43400;3.8541
43500;3.8555
43600;3.8569
43700;3.8582
43800;3.8596
43900;3.8609
44000;3.8623
44100;3.8636
44200;3.8649
44300;3.8663
44400;3.8676
44500;3.8689
44600;3.8702
44700;3.8715
44800;3.8728
44900;3.8741
45000;3.8753
45100;3.8766
45200;3.8779
45300;3.8791
45400;3.8804
45500;3.8816
45600;3.8829
45700;3.8841
45800;3.8854
45900;3.8866
46000;3.8878
46100;3.889
46200;3.8903
46300;3.8915
46400;3.8927
46500;3.8939
46600;3.8951
46700;3.8963
46800;3.8974
46900;3.8986
47000;3.8998
47100;3.901
47200;3.9021
47300;3.9033
47400;3.9044
47500;3.9056
47600;3.9067
47700;3.9079
47800;3.909
47900;3.9101
48000;3.9113
48100;3.9124
48200;3.9135
48300;3.9146
48400;3.9157
48500;3.9168
48600;3.9179
48700;3.919
48800;3.9201
48900;3.9212
49000;3.9222
49100;3.9233
49200;3.9244
49300;3.9255
49400;3.9265
49500;3.9276
49600;3.9286
49700;3.9297
49800;3.9307
49900;3.9318
50000;3.9328
50100;3.9338
50200;3.9349
50300;3.9359
50400;3.9369
50500;3.9379
50600;3.9389
50700;3.9399
50800;3.9409
50900;3.9419
51000;3.9429
51100;3.9439
51200;3.9449
51300;3.9459
51400;3.9469
51500;3.9479
51600;3.9488
51700;3.9498
51800;3.9508
51900;3.9517
52000;3.9527
52100;3.9536
52200;3.9546
52300;3.9555
52400;3.9565
52500;3.9574
52600;3.9584
52700;3.9593
52800;3.9602
52900;3.9612
53000;3.9621
53100;3.963
53200;3.9639
53300;3.9648
53400;3.9657
53500;3.9666
53600;3.9675
53700;3.9684
53800;3.9693
53900;3.9702
54000;3.9711
54100;3.972
54200;3.9729
54300;3.9738
54400;3.9746
54500;3.9755
54600;3.9764
54700;3.9772
54800;3.9781
54900;3.979
55000;3.9798
55100;3.9807
55200;3.9815
55300;3.9824
55400;3.9832
55500;3.9841
55600;3.9849
55700;3.9857
55800;3.9866
55900;3.9874
56000;3.9882
56100;3.989
56200;3.9899
56300;3.9907
56400;3.9915
56500;3.9923
56600;3.9931
