Steuerbares Einkommen;Einheitssteuersatz %
100;1.55
3300;1.553
3400;1.5559
3500;1.5586
3600;1.5611
3700;1.5635
3800;1.5658
3900;1.5679
4000;1.57
4100;1.572
4200;1.5738
4300;1.5756
4400;1.5773
4500;1.5789
4600;1.5804
4700;1.5819
4800;1.5833
4900;1.5847
5000;1.586
5100;1.5873
5200;1.5885
5300;1.5896
5400;1.5907
5500;1.5918
5600;1.5929
5700;1.5939
5800;1.5948
5900;1.5958
6000;1.5967
6100;1.5975
6200;1.5984
6300;1.5992
6400;1.6
6500;1.6192
6600;1.6379
6700;1.656
6800;1.6735
6900;1.6906
7000;1.7071
7100;1.7232
7200;1.7389
7300;1.7541
7400;1.7689
7500;1.7833
7600;1.7974
7700;1.811
7800;1.8244
7900;1.8373
8000;1.85
8100;1.8623
8200;1.8744
8300;1.8861
8400;1.8976
8500;1.9088
8600;1.9198
8700;1.9305
8800;1.9409
8900;1.9511
9000;1.9611
9100;1.9709
9200;1.9804
9300;1.9898
9400;1.9989
9500;2.0079
9600;2.0167
9700;2.0253
9800;2.0337
9900;2.0419
10000;2.05
10100;2.0579
10200;2.0657
10300;2.0733
10400;2.0808
10500;2.0881
10600;2.0953
10700;2.1023
10800;2.1093
10900;2.1161
11000;2.1227
11100;2.1293
11200;2.1357
11300;2.142
11400;2.1482
11500;2.1543
11600;2.1603
11700;2.1662
11800;2.172
11900;2.1777
12000;2.1833
12100;2.1888
12200;2.1943
12300;2.1996
12400;2.2048
12500;2.21
12600;2.2151
12700;2.2201
12800;2.225
12900;2.2298
13000;2.2346
13100;2.2393
13200;2.2439
13300;2.2485
13400;2.253
13500;2.2574
13600;2.2618
13700;2.2661
13800;2.2703
13900;2.2745
14000;2.2786
14100;2.2826
14200;2.2866
14300;2.2906
14400;2.2944
14500;2.2983
14600;2.3021
14700;2.3058
14800;2.3095
14900;2.3131
15000;2.3167
15100;2.3202
15200;2.3237
15300;2.3271
15400;2.3305
15500;2.3339
15600;2.3372
15700;2.3404
15800;2.3437
15900;2.3469
16000;2.35
16100;2.3581
16200;2.366
16300;2.3739
16400;2.3817
16500;2.3894
16600;2.397
16700;2.4045
16800;2.4119
16900;2.4192
17000;2.4265
17100;2.4336
17200;2.4407
17300;2.4477
17400;2.4546
17500;2.4614
17600;2.4682
