STJ;BFS-Nr.;Gde Name;Anlage Gde NP;Anlage Gde JP;LSt;Mischsatz JP;reformiert;römisch-katholisch;christ-katholisch;gültig von;gültig bis;provisorisch/ definitiv;KG_Bezeichnung;Verwaltungskreis/ Amtsbezirk
2025;301;Aarberg;1.75;1.75;1;0.1676;0.161;0.2;0.28;01.01.2025;31.12.9999;definitiv;Kanton Bern;Seeland
2025;302;Bargen;1.84;1.84;1.2;0.2257;0.23;0.2;0.28;01.01.2025;31.12.9999;definitiv;Kanton Bern;Seeland
2025;303;Grossaffoltern;1.69;1.69;1;0.1858;0.184;0.2;0.28;01.01.2025;31.12.9999;definitiv;Kanton Bern;Seeland
2025;304;Kallnach (Golaten);1.45;1.45;1.5;0.2147;0.2185;0.19;0.276;01.01.2025;31.12.9999;definitiv;Kanton Bern;Seeland
2025;304;Kallnach (Kallnach/Niederried);1.45;1.45;1.5;0.1657;0.161;0.2;0.28;01.01.2025;31.12.9999;definitiv;Kanton Bern;Seeland
2025;305;Kappelen;1.6;1.6;1.2;0.164;0.16;0.2;0.28;01.01.2025;31.12.9999;definitiv;Kanton Bern;Seeland
2025;306;Lyss (Busswil BE);1.6;1.6;1;0.2001;0.2;0.2;0.28;01.01.2025;31.12.9999;definitiv;Kanton Bern;Seeland
2025;306;Lyss (Lyss);1.6;1.6;1;0.1887;0.184;0.2;0.28;01.01.2025;31.12.9999;definitiv;Kanton Bern;Seeland
2025;307;Meikirch;1.54;1.54;1;0.1944;0.195;0.19;0.28;01.01.2025;31.12.9999;definitiv;KG Wohlen;Bern-Mittelland
2025;309;Radelfingen;1.69;1.69;1.3;0.2271;0.23;0.2;0.28;01.01.2025;31.12.9999;definitiv;Kanton Bern;Seeland
2025;310;Rapperswil (Rapp./Bangerten);1.68;1.68;1;0.195;0.1955;0.19;0.28;01.01.2025;31.12.9999;definitiv;Kanton Bern;Seeland
2025;310;Rapperswil (Ruppoldsried);1.68;1.68;1;0.1858;0.185;0.19;0.276;01.01.2025;31.12.9999;definitiv;Kanton Bern;Seeland
2025;311;Schüpfen;1.74;1.74;1;0.2088;0.21;0.2;0.28;01.01.2025;31.12.9999;definitiv;Kanton Bern;Seeland
2025;312;Seedorf;1.74;1.74;1;0.2065;0.207;0.2;0.28;01.01.2025;31.12.9999;definitiv;Kanton Bern;Seeland
2025;321;Aarwangen;1.57;1.57;1;0.1858;0.184;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Langenthal;Oberaargau
2025;322;Auswil;1.75;1.75;1.25;0.1847;0.184;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Langenthal;Oberaargau
2025;323;Bannwil;1.8;1.8;1.5;0.1858;0.184;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Langenthal;Oberaargau
2025;324;Bleienbach;1.45;1.45;1;0.1769;0.175;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Langenthal;Oberaargau
2025;325;Busswil B. M.;1.6;1.6;1.2;0.19;0.19;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Langenthal;Oberaargau
2025;326;Gondiswil;1.84;1.84;1.2;0.19;0.19;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Langenthal;Oberaargau
2025;329;Langenthal (Langent./Unterst.);1.44;1.44;1;0.1596;0.1484;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Langenthal;Oberaargau
2025;329;Langenthal (Obersteckholz);1.44;1.44;1;0.1767;0.175;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Langenthal;Oberaargau
2025;331;Lotzwil;1.7;1.7;1.2;0.1785;0.175;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Langenthal;Oberaargau
2025;332;Madiswil (Kleind.-Leimiswil);1.65;1.65;1;0.1846;0.184;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Langenthal;Oberaargau
2025;332;Madiswil (Madiswil);1.65;1.65;1;0.1847;0.184;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Langenthal;Oberaargau
2025;333;Melchnau;1.74;1.74;1.5;0.1909;0.19;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Langenthal;Oberaargau
2025;335;Oeschenbach;2;2;1;0.2273;0.23;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Langenthal;Oberaargau
2025;336;Reisiswil;1.79;1.79;1;0.19;0.19;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Langenthal;Oberaargau
2025;337;Roggwil;1.61;1.61;1.2;0.1905;0.19;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Langenthal;Oberaargau
2025;338;Rohrbach;1.35;1.35;1.1;0.1849;0.184;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Langenthal;Oberaargau
2025;339;Rohrbachgraben;1.94;1.94;1.2;0.1843;0.184;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Langenthal;Oberaargau
2025;340;Rütschelen;1.6;1.6;1;0.1768;0.175;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Langenthal;Oberaargau
2025;341;Schwarzhäusern;1.6;1.6;1;0.1846;0.184;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Langenthal;Oberaargau
2025;342;Thunstetten;1.7;1.7;1;0.1857;0.184;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Langenthal;Oberaargau
2025;344;Ursenbach;1.75;1.75;1.5;0.2265;0.23;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Langenthal;Oberaargau
2025;345;Wynau;1.8;1.8;1.2;0.1971;0.2;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Langenthal;Oberaargau
2025;351;Bern;1.54;1.54;1.5;0.1871;0.184;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Bern;Bern-Mittelland
2025;352;Bolligen;1.6;1.6;1.2;0.1861;0.184;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Ittigen;Bern-Mittelland
2025;353;Bremgarten;1.49;1.49;1;0.186;0.184;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Wohlen;Bern-Mittelland
2025;354;Kirchlindach;1.55;1.55;1;0.1856;0.184;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Wohlen;Bern-Mittelland
2025;355;Köniz;1.58;1.58;1.2;0.2175;0.23;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Köniz;Bern-Mittelland
2025;356;Muri;1.14;1.14;0.7;0.18;0.176;0.19;0.276;01.01.2025;31.12.9999;provisorisch;KG Muri;Bern-Mittelland
2025;357;Oberbalm;1.75;1.75;1.4;0.2269;0.23;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Köniz;Bern-Mittelland
2025;358;Stettlen;1.57;1.57;1.2;0.2031;0.207;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Münsingen;Bern-Mittelland
2025;359;Vechigen;1.54;1.54;1;0.196;0.197;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Münsingen;Bern-Mittelland
2025;360;Wohlen;1.54;1.54;1;0.1945;0.1955;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Wohlen;Bern-Mittelland
2025;361;Zollikofen;1.4;1.4;1;0.1871;0.185;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Ittigen;Bern-Mittelland
2025;362;Ittigen;1.23;1.23;1.1;0.1862;0.184;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Ittigen;Bern-Mittelland
